name,type,座標(經緯度),營業時間
全家善導寺店,便利商店(全家),"25.044951,121.523659",
全家兆豐店,便利商店(全家),"25.043140,121.530909",
全家忠孝新生店,便利商店(全家),"25.041828,121.531580",
全家福邦店,便利商店(全家),"25.042543,121.526566",
全家文祥店,便利商店(全家),"25.035943,121.524657",
全家林森南路店,便利商店(全家),"25.039944,121.522046",
全家北盛店,便利商店(全家),"25.045030,121.517587",
全家青島東路店,便利商店(全家),"25.043868,121.522461",
全家南陽店,便利商店(全家),"25.044774,121.516203",
全家東正店,便利商店(全家),"25.038368,121.519306",
全家南海店,便利商店(全家),"25.032433,121.517011",
全家正陽店,便利商店(全家),"25.045711,121.516304",
全家重慶店,便利商店(全家),"25.043947,121.513060",
全家台六宿舍店,便利商店(全家),"25.041041,121.521497",
全家昌盛店,便利商店(全家),"25.045438,121.516757",
全家博愛店,便利商店(全家),"25.044256,121.511551",
全家開封店,便利商店(全家),"25.046144,121.512513",
全家嶺先店,便利商店(全家),"25.023508,121.519100",
全家教育大學店,便利商店(全家),"25.035578,121.513569",
全家漢盛店,便利商店(全家),"25.045099,121.514384",
全家福昌店,便利商店(全家),"25.029407,121.519789",
全家機場捷運店,便利商店(全家),"25.049401,121.512762",
全家新衡陽店,便利商店(全家),"25.042355,121.511054",
全家衡慶店,便利商店(全家),"25.042415,121.513718",
全家新仟囍店,便利商店(全家),"25.044561,121.514898",
全家齊東店,便利商店(全家),"25.041596,121.526814",
全家富陽店,便利商店(全家),"25.043519,121.515838",
全家西站店,便利商店(全家),"25.046208,121.514268",
全家羅斯店,便利商店(全家),"25.027640,121.521717",
全家羅安店,便利商店(全家),"25.025919,121.523010",
全家金安店,便利商店(全家),"25.023396,121.524883",
全家羅館店,便利商店(全家),"25.016935,121.530802",
全家館中店,便利商店(全家),"25.015748,121.532600",
全家大龍店,便利商店(全家),"25.067372,121.516045",
全家蘭州店,便利商店(全家),"25.070586,121.515924",
全家泰元店,便利商店(全家),"25.051883,121.515690",
全家太陽店,便利商店(全家),"25.055294,121.516696",
全家萬全店,便利商店(全家),"25.057725,121.520117",
全家福澤店,便利商店(全家),"25.062778,121.515817",
全家權澤店,便利商店(全家),"25.062732,121.517087",
全家赤峰店,便利商店(全家),"25.056031,121.519639",
全家永樂店,便利商店(全家),"25.060382,121.511226",
全家新橋店,便利商店(全家),"25.064474,121.511223",
全家國順店,便利商店(全家),"25.067306,121.510818",
全家龍泉店,便利商店(全家),"25.070552,121.510708",
全家京承店,便利商店(全家),"25.050731,121.517227",
全家日新店,便利商店(全家),"25.055037,121.518404",
全家福安店,便利商店(全家),"25.050123,121.519855",
全家玉泉店,便利商店(全家),"25.051929,121.510229",
全家長慶店,便利商店(全家),"25.051645,121.513331",
全家福山店,便利商店(全家),"25.050434,121.519947",
全家金慶店,便利商店(全家),"25.053915,121.513337",
全家京鋒店,便利商店(全家),"25.053089,121.519086",
全家迪化街店,便利商店(全家),"25.054903,121.509980",
全家迪化店,便利商店(全家),"25.055128,121.509930",
全家慶權店,便利商店(全家),"25.062749,121.513745",
全家龍昌店,便利商店(全家),"25.074338,121.514062",
全家慶國店,便利商店(全家),"25.072793,121.513584",
全家酒泉店,便利商店(全家),"25.071835,121.518297",
全家鑫泉店,便利商店(全家),"25.072254,121.511208",
全家寧夏店,便利商店(全家),"25.055823,121.515108",
全家甘州店,便利商店(全家),"25.058305,121.513038",
全家京江店,便利商店(全家),"25.052696,121.531373",
全家直學店,便利商店(全家),"25.080829,121.546531",
