zip,id,station,address,dir_cn,dir_en,dir_short,lat,lon,lat_offset,lon_offset
10001,LAAA051-01,大同分局 寧夏路派出所,民權西路184巷59-1號旁,西,West,W,25.06101,121.514897,25.061009999868283,121.5146986651574
10001,LAAA051-02,大同分局 寧夏路派出所,民權西路184巷59-1號旁,西北,Northwest,NW,25.06101,121.514897,25.06113704089995,121.51475675594243
10001,LAAA052-01,大同分局 寧夏路派出所,錦西街65巷38號前,東南,Southeast,SE,25.0603604,121.5152197,25.060233358968336,121.51535994302326
10001,LAAA053-01,大同分局 寧夏路派出所,蘭州街44號旁燈桿,北,North,N,25.0626343,121.5144914,25.06281396305683,121.51449139999998
10001,LAAA054-01,大同分局 寧夏路派出所,民權西路160巷34號對面燈桿,南,South,S,25.0610883,121.5158342,25.060908636943182,121.51583420000001
10001,LAAA055-01,大同分局 寧夏路派出所,承德路2段與民權西路東南角,東,East,E,25.0628392,121.51822,25.062839199868275,121.51841833780361
10001,LAAA056-01,大同分局 寧夏路派出所,蘭州街1號旁,東,East,E,25.0616136,121.5142207,25.06161359986828,121.51441903581966
10001,LAAA057-01,大同分局 寧夏路派出所,民權西路118巷15弄7號旁(停車場出入口前),北,North,N,25.0622584,121.517525,25.062438063056824,121.517525
10001,LAAA058-01,大同分局 寧夏路派出所,蘭州街1號燈桿,北,North,N,25.0616136,121.5142207,25.061793263056828,121.51422070000001
10001,LAAA059-01,大同分局 寧夏路派出所,承德路2段156號對面分隔島,北,North,N,25.0603982,121.5180225,25.060577863056828,121.5180225
10001,LAAA059-02,大同分局 寧夏路派出所,承德路2段156號對面分隔島,北,North,N,25.0603982,121.5180225,25.060577863056828,121.5180225
10001,LAAA060-01,大同分局 寧夏路派出所,民權西路102巷與4弄口,東,East,E,25.0627164,121.5175133,25.062716399868272,121.5177116376048
10001,LAAA061-01,大同分局 寧夏路派出所,錦西街85之1號前,西南,Southwest,SW,25.0597514,121.5152789,25.05962435896834,121.51513865767376
10001,LAAA062-01,大同分局 寧夏路派出所,錦西街59巷40號,南,South,S,25.060452,121.515762,25.060272336943182,121.51576200000001
10001,LAAA063-01,大同分局 寧夏路派出所,民權西路144巷10弄2號左前方燈桿,東,East,E,25.0621593,121.5156972,25.062159299868277,121.515895536703
10001,LAAA064-01,大同分局 寧夏路派出所,民權西路96巷19號斜對面巷內(民權西路捷運站2號出口旁巷內),東南,Southeast,SE,25.0622892,121.5191947,25.062162158968334,121.51933494523091
10001,LAAA065-01,大同分局 寧夏路派出所,民權西路184巷9號旁,東,East,E,25.0619512,121.514592,25.06195119986828,121.5147903363661
10001,LAAA066-01,大同分局 寧夏路派出所,承德路3段76號前,東南,Southeast,SE,25.0660265,121.5180657,25.06589945896832,121.51820594950918
10001,LAAA067-01,大同分局 寧夏路派出所,民權西路94巷2號口旁自立桿,南,South,S,25.0624798,121.5189342,25.06230013694318,121.5189342
10001,LAAA067-02,大同分局 寧夏路派出所,承德路2段132號(分隔島),北,North,N,25.0592044,121.5180163,25.059384063056825,121.51801630000001
10001,LAAA068-01,大同分局 寧夏路派出所,承德路2段民權西路102巷33弄口,南,South,S,25.0615692,121.5181783,25.061389536943178,121.51817830000002
10001,LAAA069-01,大同分局 寧夏路派出所,民權西路102巷與4弄口,北,North,N,25.0627164,121.5175133,25.062896063056826,121.5175133
10001,LAAA070-01,大同分局 寧夏路派出所,承德路2段與錦西街東北角,北,North,N,25.0601914,121.518291,25.060371063056827,121.518291
10001,LAAA071-01,大同分局 寧夏路派出所,重慶北路2段207號前分隔島,北,North,N,25.0606726,121.5137348,25.060852263056823,121.5137348
10001,LAAA074-01,大同分局 寧夏路派出所,承德路２段與民權西路天橋(東南角人行道),東,East,E,25.0628392,121.51822,25.062839199868275,121.51841833780361
10001,LAAA076-01,大同分局 寧夏路派出所,民權西路102巷27號左對面燈桿,北,North,N,25.0618618,121.5177553,25.06204146305683,121.51775529999999
10001,LAAA077-01,大同分局 寧夏路派出所,民權西路136號,東,East,E,25.0626752,121.5160296,25.06267519986827,121.51622793753812
10001,LAAA078-01,大同分局 寧夏路派出所,民權西路160巷28號對面燈桿,南,South,S,25.0610159,121.515829,25.060836236943178,121.515829
10001,LAAA079-01,大同分局 寧夏路派出所,民權西路133巷20號牆上,南,South,S,25.0641427,121.5169439,25.063963036943182,121.5169439
10001,LAAA080-01,大同分局 寧夏路派出所,昌吉街130號牆上,南,South,S,25.0658131,121.514185,25.065633436943177,121.51418500000001
10001,LAAA081-01,大同分局 寧夏路派出所,昌吉街110巷2號旁,南,South,S,25.0652486,121.5146458,25.065068936943177,121.5146458
10001,LAAA082-01,大同分局 寧夏路派出所,承德路3段51巷23號右前,北,North,N,25.0657518,121.5189483,25.065931463056828,121.5189483
10001,LAAA082-02,大同分局 寧夏路派出所,承德路3段51巷23號右前,南,South,S,25.0657518,121.5189483,25.065572136943178,121.5189483
10001,LAAA083-01,大同分局 寧夏路派出所,台北橋上橋處-西往東/東往西(分隔島),西,West,W,25.0329694,121.5654177,25.032969399868453,121.56521941051142
10001,LAAA083-02,大同分局 寧夏路派出所,台北橋上橋處-西往東/東往西(分隔島),東,East,E,25.0329694,121.5654177,25.032969399868453,121.56561598948859
10001,LAAA084-01,大同分局 寧夏路派出所,大龍街54號,北,North,N,25.064997,121.5159802,25.06517666305683,121.5159802
10001,LAAA085-01,大同分局 寧夏路派出所,北市大同區民權西路139號前燈桿路口監控,西,West,W,25.0631468,121.5168379,25.06314679986827,121.51663956169844
10001,LAAA086-01,大同分局 寧夏路派出所,承德路3段51巷20號前燈桿,北,North,N,25.0640109,121.5188302,25.064190563056826,121.5188302
10001,LAAA086-02,大同分局 寧夏路派出所,承德路3段51巷20號前燈桿,南,South,S,25.0640109,121.5188302,25.063831236943177,121.5188302
10001,LAAA087-01,大同分局 寧夏路派出所,承德路3段8巷2號前燈桿,東,East,E,25.0636189,121.517428,25.06361889986827,121.51762633906583
10001,LAAA088-01,大同分局 寧夏路派出所,蘭州街47-2號對面燈桿,北,North,N,25.0633916,121.5149845,25.063571263056822,121.5149845
10001,LAAA089-01,大同分局 寧夏路派出所,大龍街19號右側燈桿,東,East,E,25.0635653,121.5161048,25.063565299868266,121.51630313897905
10001,LAAA090-01,大同分局 寧夏路派出所,重慶北路3段25巷口,東,East,E,25.070191,121.5136876,25.07019099986823,121.51388594970719
10001,LAAA091-01,大同分局 寧夏路派出所,撫順街36-1號前,西,West,W,25.063218,121.519032,25.063217999868268,121.51883366158317
10001,LAAA092-01,大同分局 寧夏路派出所,蘭州街89巷11號燈桿,西,West,W,25.0641916,121.5158883,25.064191599868266,121.51568996000702
10001,LAAA092-02,大同分局 寧夏路派出所,蘭州街89巷11號燈桿,北,North,N,25.0641916,121.5158883,25.064371263056827,121.51588829999999
10001,LAAA093-01,大同分局 寧夏路派出所,承德路3段22號左旁燈桿,西,West,W,25.0706036,121.5185139,25.07060359986822,121.51831554962463
10001,LAAA095-01,大同分局 寧夏路派出所,承德路3段2號右旁前燈桿,南,South,S,25.0632743,121.5180649,25.06309463694318,121.51806490000001
10001,LAAA096-01,大同分局 寧夏路派出所,蘭州街126號前燈桿,北,North,N,25.0656833,121.5156212,25.065862963056826,121.51562120000001
10001,LAAA097-01,大同分局 寧夏路派出所,蘭州街70號燈桿,北,North,N,25.0645511,121.51525,25.064730763056826,121.51525
10001,LAAA098-01,大同分局 寧夏路派出所,昌吉街100號,東,East,E,25.0658032,121.5150297,25.065803199868256,121.51522804260216
10001,LAAA099-01,大同分局 寧夏路派出所,昌吉街53號對面,南,South,S,25.0659957,121.5161089,25.065816036943176,121.5161089
10001,LAAA100-01,大同分局 寧夏路派出所,昌吉街10號前,東,East,E,25.0657479,121.5176018,25.065747899868256,121.51780014251261
10001,LAAA101-01,大同分局 寧夏路派出所,民權西路133巷9號牆上,西,West,W,25.0634457,121.5171285,25.063445699868268,121.51693016121457
10001,LAAA102-01,大同分局 寧夏路派出所,承德路3段30號旁,西,West,W,25.0644196,121.518063,25.064419599868263,121.51786465963791
10001,LAAA102-02,大同分局 寧夏路派出所,承德路3段30號前,北,North,N,25.0644196,121.518063,25.064599263056827,121.518063
10001,LAAA103-01,大同分局 寧夏路派出所,承德路3段53號前,北,North,N,25.0652015,121.5185728,25.065381163056827,121.51857280000002
10001,LAAA104-01,大同分局 寧夏路派出所,民權西路217號前號誌,西,West,W,25.0631734,121.5148965,25.06317339986827,121.51469816165537
10001,LAAA106-01,大同分局 寧夏路派出所,昌吉街72號右前燈桿,東,East,E,25.0657981,121.5158444,25.065798099868253,121.51604274259392
10001,LAAA108-01,大同分局 寧夏路派出所,大龍街14號前,北,North,N,25.0635065,121.515895,25.063686163056822,121.515895
10001,LAAB001-01,大同分局 民族路派出所,迪化街2段246號,南,South,S,25.0694445,121.5111948,25.069264836943177,121.5111948
10001,LAAB002-01,大同分局 民族路派出所,環河北路2段213巷2號,東,East,E,25.0696142,121.5094707,25.069614199868234,121.50966904877308
10001,LAAB003-01,大同分局 民族路派出所,民族西路305號旁,北,North,N,25.0688546,121.5100257,25.069034263056828,121.5100257
10001,LAAB004-01,大同分局 民族路派出所,環河北路2段207號前燈桿,北,North,N,25.0693442,121.5094372,25.069523863056823,121.50943720000001
10001,LAAB005-01,大同分局 民族路派出所,重慶北路3段252巷3號前,西,West,W,25.0714204,121.5133351,25.071420399868224,121.5131367483018
10001,LAAB006-01,大同分局 民族路派出所,延平北路4段102巷1號前,西,West,W,25.0717472,121.5107665,25.07174719986822,121.51056814777255
10001,LAAB007-01,大同分局 民族路派出所,環河北路2段223巷4號燈桿,北,North,N,25.0699395,121.5097713,25.070119163056823,121.5097713
10001,LAAB008-01,大同分局 民族路派出所,重慶北路3段236巷45弄21號對面燈桿,西,West,W,25.0712485,121.5123869,25.07124849986822,121.51218854858021
10001,LAAB009-01,大同分局 民族路派出所,環河北路二段237巷1號,東,East,E,25.0705259,121.509836,25.070525899868223,121.51003435024955
10001,LAAB010-01,大同分局 民族路派出所,環河北路2段235巷1號燈桿,東,East,E,25.0701758,121.5098701,25.070175799868228,121.51006844968256
10001,LAAB011-01,大同分局 民族路派出所,延平北路4段93號旁,東,East,E,25.0707315,121.5110166,25.070731499868224,121.51121495058251
10001,LAAB012-01,大同分局 民族路派出所,迪化街2段252-2號燈桿,北,North,N,25.0698669,121.5114478,25.070046563056827,121.5114478
10001,LAAB013-01,大同分局 民族路派出所,延平北路4段與酒泉街口東南角號誌桿,西,West,W,25.0721073,121.5109159,25.072107299868215,121.5107175471893
10001,LAAB014-01,大同分局 民族路派出所,延平北路4段50號前號誌桿,西,West,W,25.0702401,121.5107386,25.07024009986823,121.51054025021332
10001,LAAB015-01,大同分局 民族路派出所,環河北路2段221號右後方燈桿,東,East,E,25.0699643,121.5094913,25.06996429986823,121.50968964934002
10001,LAAB017-01,大同分局 民族路派出所,重慶北路3段236巷49號旁,東,East,E,25.0706517,121.5121654,25.070651699868225,121.51236375045326
10001,LAAB019-01,大同分局 民族路派出所,酒泉街116號路燈,東,East,E,25.0719794,121.5131459,25.07197939986822,121.51334425260353
10001,LAAB020-01,大同分局 民族路派出所,迪化街2段310號,南,South,S,25.071927,121.512277,25.07174733694318,121.512277
10001,LAAB024-01,大同分局 民族路派出所,迪化街2段244號,東,East,E,25.0694116,121.5112062,25.069411599868232,121.511404548445
10001,LAAB025-01,大同分局 民族路派出所,迪化街2段296巷298號旁燈桿,北,North,N,25.0714284,121.5118297,25.071608063056825,121.51182970000002
10001,LAAB026-01,大同分局 民族路派出所,民族西路252巷3號旁燈桿,南,South,S,25.0682533,121.5123415,25.06807363694318,121.5123415
10001,LAAB027-01,大同分局 民族路派出所,承德路3段99巷1號旁,東,East,E,25.0664362,121.5186848,25.06643619986825,121.51888314362704
10001,LAAB028-01,大同分局 民族路派出所,民族西路221巷7號對面,北,North,N,25.0690261,121.5132685,25.06920576305683,121.51326850000001
10001,LAAB030-01,大同分局 民族路派出所,承德路3段與民族西路南側分隔島,南,South,S,25.0685374,121.5184725,25.068357736943177,121.5184725
10001,LAAB031-01,大同分局 民族路派出所,延平北路3段111號右側燈桿,東,East,E,25.0681354,121.5109912,25.06813539986824,121.51118954637842
10001,LAAB032-01,大同分局 民族路派出所,民族西路264號前燈桿,東,East,E,25.0684976,121.512018,25.068497599868238,121.5122163469649
10001,LAAB034-01,大同分局 民族路派出所,民族西路231號前,北,North,N,25.0687935,121.5121737,25.068973163056828,121.5121737
10001,LAAB035-01,大同分局 民族路派出所,延平北路3段83號前號誌桿,北,North,N,,,,
10001,LAAB036-01,大同分局 民族路派出所,重慶北路3段238號旁,西,West,W,25.0706043,121.5135651,25.070604299868222,121.51336674962349
10001,LAAB037-01,大同分局 民族路派出所,重慶北路3段120巷27號燈桿,東,East,E,25.0673907,121.5127451,25.067390699868245,121.51294344517255
10001,LAAB038-01,大同分局 民族路派出所,重慶北路3段136巷1號前,西,West,W,25.067789,121.513288,25.067788999868238,121.51308965418252
10001,LAAB039-01,大同分局 民族路派出所,重慶北路3段152巷1號,西,West,W,25.068162,121.5132792,25.068161999868245,121.51308085357853
10001,LAAB040-01,大同分局 民族路派出所,重慶北路3段120巷45號旁,北,North,N,25.0672882,121.5123723,25.067467863056823,121.51237230000001
10001,LAAB041-01,大同分局 民族路派出所,昌吉街164號前,西,West,W,25.0658654,121.512712,25.065865399868258,121.5125136572971
10001,LAAB042-01,大同分局 民族路派出所,重慶北路3段120巷27號燈桿,西,West,W,25.0673907,121.5127451,25.067390699868245,121.51254675482747
